# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data
1,HS,75,0:04.912.907,8.616 us,515 B,,11,02,   DATA0 packet,C3 00 00 00 00 00 00 22 22 22 22 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 FE FE FE FE 3B 3B 3B 3B 00 00 00 00 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 02 02 02 02 06 06 06 06 06 06 06 06 02 02 02 02 04 04 04 04 60 60 60 60 60 60 60 60 01 01 01 01 43 43 43 43 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 20 20 20 20 30 30 30 30 30 30 30 30 02 02 02 02 22 22 22 22 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 24 24 24 24 22 22 22 22 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 06 06 06 06 22 22 22 22 00 00 00 00 60 60 60 60 60 60 60 60 00 00 00 00 44 44 44 44 04 04 04 04 04 04 04 04 07 07 07 07 27 27 27 27 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 10 10 10 10 14 14 14 14 00 00 00 00 12 12 12 12 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 84 84 84 84 84 84 84 84 00 00 00 00 06 06 06 06 40 40 40 40 C0 C0 C0 C0 80 80 80 80 C0 C0 C0 C0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 80 80 80 80 A0 A0 A0 A0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 30 30 30 30 30 30 30 30 20 20 20 20 10 10 10 10 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 06 06 06 06 00 00 D1 48
1,HS,76,0:04.912.916,50 ns,1 B,,11,02,   ACK packet,D2
0,HS,77,0:04.912.916,9.333 us,512 B,,11,02,OUT txn (NYET),00 00 00 00 00 00 00 00 00 00 C0 C0 C0 C0 42 42 42 42 00 00 00 00 24 24 24 24 26 26 26 26 66 66 66 66 64 64 64 64 44 44 44 44 44 44 44 44 40 40 40 40 50 50 50 50 40 40 40 40 44 44 44 44 44 44 44 44 52 52 52 52 44 44 44 44 42 42 42 42 42 42 42 42 60 60 60 60 40 40 40 40 40 40 40 40 40 40 40 40 10 10 10 10 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 94 94 94 94 94 94 94 94 10 10 10 10 94 94 94 94 50 50 50 50 40 40 40 40 00 00 00 00 00 00 00 00 38 38 38 38 78 78 78 78 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 60 60 60 60 60 60 60 60 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 04 04 04 04 80 80 80 80 00 00 00 00 02 02 02 02 30 30 30 30 04 04 04 04 00 00 00 00 00 00 00 00 08 08 08 08 0C 0C 0C 0C 00 00 00 00 98 98 98 98 92 92 92 92 52 52 52 52 92 92 92 92 34 34 34 34 34 34 34 34 04 04 04 04 04 04 04 04 04 04 04 04 94 94 94 94 10 10 10 10 00 00 00 00 10 10 10 10 84 84 84 84 06 06 06 06 A0 A0 A0 A0 A4 A4 A4 A4 00 00 00 00 00 00 00 00 10 10 10 10 02 02 02 02 02 02 02 02 02 02 02 02 16 16 16 16 80 80 80 80 5A 5A 5A 5A 12 12 12 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 24 24 24 24 20 20 20 20 20 20 20 20 3A 3A 3A 3A 2C 2C 2C 2C 22 22 22 22 28 28 28 28 22 22 22 22 60 60 60 60 20 20 20 20 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 00 00 00 00 00 00 00 00 00 00 00 00 14 14 14 14 94 94 94 94 80 80 80 80 94 94 94 94 20 20 20 20 80 80 80 80 00 00 00 00 20 20 20 20 00 00
1,HS,78,0:04.912.916,66 ns,3 B,,11,02,   OUT packet,E1 0B 09
1,HS,79,0:04.912.917,8.600 us,515 B,,11,02,   DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 C0 C0 C0 C0 42 42 42 42 00 00 00 00 24 24 24 24 26 26 26 26 66 66 66 66 64 64 64 64 44 44 44 44 44 44 44 44 40 40 40 40 50 50 50 50 40 40 40 40 44 44 44 44 44 44 44 44 52 52 52 52 44 44 44 44 42 42 42 42 42 42 42 42 60 60 60 60 40 40 40 40 40 40 40 40 40 40 40 40 10 10 10 10 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 94 94 94 94 94 94 94 94 10 10 10 10 94 94 94 94 50 50 50 50 40 40 40 40 00 00 00 00 00 00 00 00 38 38 38 38 78 78 78 78 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 60 60 60 60 60 60 60 60 40 40 40 40 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 04 04 04 04 80 80 80 80 00 00 00 00 02 02 02 02 30 30 30 30 04 04 04 04 00 00 00 00 00 00 00 00 08 08 08 08 0C 0C 0C 0C 00 00 00 00 98 98 98 98 92 92 92 92 52 52 52 52 92 92 92 92 34 34 34 34 34 34 34 34 04 04 04 04 04 04 04 04 04 04 04 04 94 94 94 94 10 10 10 10 00 00 00 00 10 10 10 10 84 84 84 84 06 06 06 06 A0 A0 A0 A0 A4 A4 A4 A4 00 00 00 00 00 00 00 00 10 10 10 10 02 02 02 02 02 02 02 02 02 02 02 02 16 16 16 16 80 80 80 80 5A 5A 5A 5A 12 12 12 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 24 24 24 24 20 20 20 20 20 20 20 20 3A 3A 3A 3A 2C 2C 2C 2C 22 22 22 22 28 28 28 28 22 22 22 22 60 60 60 60 20 20 20 20 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 B4 B4 B4 B4 34 34 34 34 00 00 00 00 00 00 00 00 00 00 00 00 14 14 14 14 94 94 94 94 80 80 80 80 94 94 94 94 20 20 20 20 80 80 80 80 00 00 00 00 20 20 20 20 00 00 FF 9C
1,HS,80,0:04.912.926,33 ns,1 B,,11,02,   NYET packet,96
0,HS,81,0:04.912.996,1.625.266 ms,,,,,[14 SOF],
0,HS,82,0:04.912.935,1.749.250 ms,512 B,,11,02,OUT txn (NYET)   [76 POLL],00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 04 04 04 04 00 00 00 00 00 00 00 00 A8 A8 A8 A8 8C 8C 8C 8C 00 00 00 00 88 88 88 88 10 10 10 10 60 60 60 60 00 00 00 00 24 24 24 24 04 04 04 04 04 04 04 04 04 04 04 04 14 14 14 14 16 16 16 16 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 04 04 04 04 00 00 00 00 04 04 04 04 10 10 10 10 10 10 10 10 00 00 00 00 12 12 12 12 00 00 00 00 00 00 00 00 08 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 10 10 10 10 00 00 00 00 00 00 00 00 00 00 00 00 BE BE BE BE A4 A4 A4 A4 00 00 00 00 A4 A4 A4 A4 40 40 40 40 40 40 40 40 00 00 00 00 48 48 48 48 18 18 18 18 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 02 02 02 02 00 00 00 00 10 10 10 10 18 18 18 18 18 18 18 18 10 10 10 10 18 18 18 18 10 10 10 10 02 02 02 02 00 00 00 00 00 00 00 00 10 10 10 10 10 10 10 10 2C 2C 2C 2C 10 10 10 10 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 08 08 08 08 04 04 04 04 02 02 02 02 00 00 00 00 C0 C0 C0 C0 62 62 62 62 00 00 00 00 4C 4C 4C 4C 0D 0D 0D 0D 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 0C 1C 1C 1C 1C 10 10 10 10 00 00 00 00 12 12 12 12 0E 0E 0E 0E 0E 0E 0E 0E 02 02 02 02 0C 0C 0C 0C 00 00 00 00 02 02 02 02 00 00 00 00 02 02 02 02 00 00 00 00 00 00 00 00 08 08 08 08 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0C 0C 0C 0C 04 04 04 04 00 00 00 00 04 04 04 04 40 40 40 40 40 40 40 40 00 00 00 00 C8 C8 C8 C8 38 38 38 38 A8 A8 A8 A8 08 08 08 08 A8 A8 A8 A8 08 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 1A 1A
1,HS,83,0:04.912.935,1.715.250 ms,,,11,02,   [76 PING-NAK],
1,HS,84,0:04.914.672,450 ns,,,11,02,   PING-ACK,
